date,ticker,momentum_6m,momentum_12m,rank_6m,rank_12m,composite_score,final_rank,weight
2018-06-29,CTAS,0.1816,0.5046,0.7755,0.7551,0.7694,11,0.0667
2018-06-29,ADSK,0.2476,0.2929,0.8163,0.5714,0.7429,12,0.0667
2018-06-29,MSFT,0.1608,0.4679,0.7347,0.7143,0.7286,13,0.0667
2018-06-29,ASML,0.1465,0.5411,0.6735,0.8163,0.7163,14,0.0667
2018-06-29,ADP,0.1556,0.3506,0.7143,0.6735,0.702,15,0.0667
2018-07-31,FTNT,0.3754,0.7044,0.9796,0.9388,0.9673,1,0.0667
2018-07-31,MU,0.2669,0.8773,0.9388,1.0,0.9571,2,0.0667
2018-07-31,PANW,0.2838,0.5045,0.9592,0.8367,0.9224,3,0.0667
2018-07-31,ADBE,0.2427,0.6703,0.898,0.9184,0.9041,4,0.0667
2018-07-31,AMZN,0.2362,0.7994,0.8776,0.9592,0.902,5,0.0667
2018-07-31,AMD,0.4242,0.3468,1.0,0.6122,0.8837,6,0.0667
2018-07-31,CSX,0.2523,0.4546,0.9184,0.7551,0.8694,7,0.0667
2018-07-31,NFLX,0.2104,0.8576,0.8163,0.9796,0.8653,8,0.0667
2018-07-31,CTAS,0.2331,0.533,0.8571,0.8776,0.8633,9,0.0667
2018-07-31,INTU,0.2172,0.5025,0.8367,0.8163,0.8306,10,0.0667
2018-07-31,ISRG,0.1878,0.6249,0.7959,0.898,0.8265,11,0.0667
2018-07-31,MSFT,0.1542,0.4876,0.7755,0.7755,0.7755,12,0.0667
2018-07-31,ORLY,0.1406,0.4978,0.7347,0.7959,0.7531,13,0.0667
2018-07-31,AAPL,0.1487,0.2993,0.7551,0.5714,0.7,14,0.0667
2018-07-31,COST,0.1113,0.3961,0.6735,0.6735,0.6735,15,0.0667
2018-08-31,FTNT,0.6537,1.1927,0.9796,1.0,0.9857,1,0.0667
2018-08-31,AMD,1.1134,0.9362,1.0,0.9388,0.9816,2,0.0667
2018-08-31,ORLY,0.3588,0.7102,0.9592,0.898,0.9408,3,0.0667
2018-08-31,AMZN,0.321,1.0525,0.9184,0.9592,0.9306,4,0.0667
2018-08-31,ISRG,0.32,0.6722,0.898,0.8571,0.8857,5,0.0667
2018-08-31,CSX,0.3238,0.4984,0.9388,0.6939,0.8653,6,0.0667
2018-08-31,PANW,0.2822,0.742,0.7959,0.9184,0.8327,7,0.0667
2018-08-31,INTU,0.2951,0.5661,0.8367,0.7755,0.8184,8,0.0667
2018-08-31,ADBE,0.2479,0.6983,0.7755,0.8776,0.8061,9,0.0667
2018-08-31,AAPL,0.2969,0.409,0.8571,0.6327,0.7898,10,0.0667
2018-08-31,ADSK,0.2985,0.3485,0.8776,0.551,0.7796,11,0.0667
2018-08-31,CTAS,0.2448,0.5977,0.7551,0.7959,0.7673,12,0.0667
2018-08-31,ADP,0.2823,0.408,0.8163,0.6122,0.7551,13,0.0667
2018-08-31,COST,0.2241,0.5039,0.7347,0.7143,0.7286,14,0.0667
2018-08-31,NVDA,0.1925,0.6606,0.6735,0.8367,0.7224,15,0.0667
2018-09-28,AMD,2.2413,1.4246,1.0,0.9796,0.9939,1,0.0667
2018-09-28,FTNT,0.7599,1.5695,0.9796,1.0,0.9857,2,0.0667
2018-09-28,AMZN,0.4599,1.0943,0.9388,0.9592,0.9449,3,0.0667
2018-09-28,ORLY,0.4712,0.6133,0.9592,0.8776,0.9347,4,0.0667
2018-09-28,ISRG,0.4318,0.6786,0.9184,0.898,0.9122,5,0.0667
2018-09-28,INTU,0.3442,0.6129,0.8367,0.8571,0.8429,6,0.0667
