date,ticker,momentum_6m,momentum_12m,volatility,rank_6m,rank_12m,rank_low_vol,composite_score,final_rank,weight
2019-02-28,ORLY,0.1269,0.5591,0.0164,0.8776,0.9592,0.8163,0.8898,2,0.0667
2019-02-28,CDNS,0.2222,0.4534,0.0184,0.9388,0.9184,0.6735,0.8796,3,0.0667
2019-02-28,INTU,0.1711,0.4634,0.0207,0.9184,0.9388,0.551,0.851,4,0.0667
2019-02-28,REGN,0.1089,0.342,0.0202,0.8163,0.8571,0.6327,0.7918,5,0.0667
2019-02-28,MDLZ,0.1239,0.0968,0.0126,0.8571,0.4898,1.0,0.7755,6,0.0667
2019-02-28,TMUS,0.0974,0.2047,0.0142,0.7959,0.6327,0.9184,0.7714,7,0.0667
2019-02-28,ADP,0.0768,0.3417,0.0157,0.6939,0.8367,0.8571,0.7694,8,0.0667
2019-02-28,CSCO,0.1274,0.1847,0.0176,0.898,0.5714,0.7347,0.7673,9,0.0667
2019-02-28,AVGO,0.3164,0.1448,0.0221,0.9796,0.5306,0.4694,0.7429,10,0.0667
2019-02-28,FTNT,0.0807,0.7375,0.0229,0.7143,0.9796,0.4082,0.7327,11,0.0667
2019-02-28,PANW,0.0861,0.4216,0.023,0.7551,0.898,0.3878,0.7245,12,0.0667
2019-02-28,PYPL,0.09,0.2342,0.0219,0.7755,0.7347,0.4898,0.7061,13,0.0667
2019-02-28,MELI,0.2239,0.222,0.0411,0.9592,0.6939,0.0408,0.6959,14,0.0667
2019-02-28,INTC,0.1092,0.0873,0.0223,0.8367,0.4694,0.449,0.649,15,0.0667
2019-03-29,CDNS,0.4129,0.7573,0.0131,0.9796,0.9796,0.8367,0.951,1,0.0667
2019-03-29,SBUX,0.3118,0.3134,0.0117,0.9592,0.6735,0.8571,0.8531,2,0.0667
2019-03-29,INTU,0.1818,0.5427,0.0153,0.8571,0.9184,0.5714,0.8184,3,0.0667
2019-03-29,SNPS,0.175,0.3991,0.0134,0.8163,0.8367,0.7755,0.8143,4,0.0667
2019-03-29,MDLZ,0.1752,0.2587,0.0106,0.8367,0.6531,0.9388,0.802,5,0.0667
2019-03-29,ORLY,0.1232,0.5998,0.0134,0.7143,0.9388,0.7551,0.7898,6,0.0667
2019-03-29,ADP,0.0793,0.4591,0.011,0.6735,0.8776,0.898,0.7796,7,0.0667
2019-03-29,MELI,0.5351,0.488,0.0342,1.0,0.898,0.0408,0.7776,8,0.0667
2019-03-29,CSCO,0.1315,0.3357,0.0114,0.7347,0.7347,0.8776,0.7633,9,0.0667
2019-03-29,PYPL,0.1557,0.3834,0.015,0.7959,0.7959,0.5918,0.7551,10,0.0667
2019-03-29,AVGO,0.2492,0.3226,0.0206,0.9388,0.6939,0.2245,0.7224,11,0.0667
2019-03-29,CSX,0.0189,0.3953,0.011,0.5306,0.8163,0.9184,0.6939,12,0.0667
2019-03-29,CMCSA,0.1427,0.2285,0.0138,0.7551,0.551,0.7347,0.6898,13,0.0667
2019-03-29,COST,0.0409,0.3326,0.0105,0.551,0.7143,0.9592,0.6816,14,0.0667
2019-03-29,PEP,0.1168,0.1606,0.009,0.6939,0.4286,0.9796,0.6714,15,0.0667
2019-04-30,CDNS,0.4911,0.7362,0.0121,0.9592,0.9592,0.7143,0.9102,1,0.0667
2019-04-30,SNPS,0.3507,0.4213,0.011,0.7755,0.8571,0.8163,0.8082,2,0.0667
2019-04-30,SBUX,0.3315,0.3616,0.0076,0.7551,0.7347,1.0,0.798,3,0.0667
2019-04-30,AVGO,0.4607,0.4239,0.0157,0.898,0.8776,0.4082,0.7939,4,0.0667
2019-04-30,ADI,0.4854,0.3525,0.0134,0.9388,0.6939,0.5714,0.7918,5,0.0667
2019-04-30,PYPL,0.3119,0.5212,0.0116,0.7347,0.9184,0.7347,0.7898,6,0.0667
2019-04-30,MELI,0.6269,0.4191,0.0324,1.0,0.8367,0.0612,0.7633,7,0.0667
2019-04-30,ADSK,0.3707,0.4072,0.0142,0.8163,0.8163,0.5102,0.7551,8,0.0667
2019-04-30,AMD,0.4338,1.4869,0.0385,0.8571,1.0,0.0204,0.7327,9,0.0667
2019-04-30,KLAC,0.4537,0.2835,0.0134,0.8776,0.551,0.5918,0.7224,10,0.0667
2019-04-30,QCOM,0.3936,0.7572,0.0347,0.8367,0.9796,0.0408,0.7204,11,0.0667
2019-04-30,MDLZ,0.2549,0.3033,0.0094,0.6327,0.6327,0.898,0.6857,12,0.0667
2019-04-30,CMCSA,0.2277,0.3988,0.01,0.5306,0.7755,0.8776,0.6735,13,0.0667
2019-04-30,MCHP,0.6124,0.2005,0.0184,0.9796,0.4286,0.2245,0.6633,14,0.0667
2019-04-30,CSCO,0.2479,0.2876,0.0085,0.5918,0.5714,0.9592,0.6592,15,0.0667
2019-05-31,CDNS,0.4756,0.5078,0.0146,0.9796,0.9592,0.5714,0.8918,1,0.0667
2019-05-31,PYPL,0.3389,0.345,0.0131,0.9388,0.898,0.7551,0.8898,2,0.0667
2019-05-31,SNPS,0.339,0.3307,0.0134,0.9592,0.8571,0.7143,0.8796,3,0.0667
2019-05-31,SBUX,0.1624,0.3528,0.0084,0.7143,0.9184,0.9592,0.8245,4,0.0667
2019-05-31,MELI,0.7199,0.8875,0.0333,1.0,0.9796,0.0612,0.8061,5,0.0667
2019-05-31,MDLZ,0.1551,0.3115,0.0069,0.6735,0.8367,1.0,0.7878,6,0.0667
2019-05-31,MSFT,0.1636,0.2702,0.0117,0.7347,0.7755,0.8571,0.7714,7,0.0667
2019-05-31,CTAS,0.2099,0.225,0.0126,0.8163,0.6735,0.7755,0.7653,8,0.0667
2019-05-31,AMD,0.3021,0.9834,0.0342,0.898,1.0,0.0408,0.7571,9,0.0667
2019-05-31,INTU,0.237,0.2275,0.0161,0.8571,0.6939,0.4898,0.7347,10,0.0667
2019-05-31,PEP,0.117,0.2997,0.0079,0.5714,0.7959,0.9796,0.7204,11,0.0667
2019-05-31,HON,0.1617,0.1633,0.0098,0.6939,0.5714,0.9184,0.702,12,0.0667
2019-05-31,ADP,0.1139,0.2513,0.0098,0.551,0.7551,0.9388,0.6898,13,0.0667
2019-05-31,CSCO,0.1441,0.2494,0.0139,0.6327,0.7347,0.6327,0.6633,14,0.0667
2019-05-31,ADBE,0.1664,0.095,0.0144,0.7551,0.5306,0.5918,0.6551,15,0.0667
2019-06-28,SNPS,0.546,0.5217,0.0152,0.9388,0.9184,0.6327,0.8714,1,0.0667
2019-06-28,CDNS,0.6312,0.6521,0.0168,0.9592,0.9388,0.5306,0.8673,2,0.0667
2019-06-28,MDLZ,0.3621,0.3522,0.0076,0.7755,0.8163,1.0,0.8327,3,0.0667
2019-06-28,CTAS,0.4188,0.3019,0.0096,0.8367,0.7347,0.9184,0.8224,4,0.0667
2019-06-28,SBUX,0.3395,0.7196,0.0096,0.6939,0.9592,0.9388,0.8224,4,0.0667
2019-06-28,MELI,1.1161,1.1439,0.032,1.0,1.0,0.0408,0.8082,6,0.0667
2019-06-28,AMD,0.7364,1.0287,0.0316,0.9796,0.9796,0.0612,0.7959,7,0.0667
2019-06-28,PYPL,0.3576,0.4189,0.0142,0.7551,0.8776,0.7143,0.7837,8,0.0667
2019-06-28,HON,0.3405,0.2991,0.0097,0.7143,0.7143,0.898,0.751,9,0.0667
2019-06-28,MSFT,0.3346,0.3957,0.0132,0.6531,0.8571,0.7755,0.7388,10,0.0667
2019-06-28,COST,0.3213,0.2712,0.0093,0.5918,0.6735,0.9592,0.6898,11,0.0667
2019-06-28,QCOM,0.3845,0.4358,0.0406,0.8163,0.898,0.0204,0.6816,12,0.0667
2019-06-28,INTU,0.3304,0.3292,0.0173,0.6327,0.7551,0.4898,0.6408,13,0.0667
2019-06-28,CSCO,0.2935,0.3304,0.0159,0.5306,0.7755,0.5918,0.6163,14,0.0667
2019-06-28,ADP,0.2872,0.268,0.0113,0.4898,0.6531,0.8367,0.6082,15,0.0667
2019-07-31,SBUX,0.4032,0.8653,0.0154,0.92,1.0,0.68,0.896,1,0.0667
2019-07-31,SNPS,0.4363,0.4862,0.0152,0.94,0.92,0.74,0.894,2,0.0667
2019-07-31,CDNS,0.5567,0.6832,0.0168,0.98,0.96,0.52,0.882,3,0.0667
2019-07-31,CTAS,0.3956,0.2993,0.0143,0.9,0.76,0.8,0.838,4,0.0667
2019-07-31,COST,0.3112,0.2709,0.0084,0.86,0.7,0.98,0.836,5,0.0667
2019-07-31,INTU,0.2998,0.3792,0.0155,0.82,0.9,0.64,0.808,6,0.0667
2019-07-31,MELI,0.7165,0.8104,0.0325,1.0,0.98,0.04,0.802,7,0.0667
2019-07-31,MSFT,0.2912,0.3143,0.013,0.76,0.78,0.84,0.782,8,0.0667
2019-07-31,MDLZ,0.2333,0.2723,0.0087,0.66,0.72,0.96,0.738,9,0.0667
2019-07-31,AMD,0.3188,0.568,0.0322,0.88,0.94,0.06,0.734,10,0.0667
2019-07-31,KLAC,0.3043,0.3195,0.0211,0.84,0.8,0.26,0.712,11,0.0667
